,Store ID,Pop class,Sales,Centre Type,Climate,Total_Store_sft,Sales_Floor_sft,Store_Frontage_ft,Store_Length_ft,Guys Segmentation,Girls Segmentation,MSA Type,Food_away_from_home,Meals_at_restaurants,Food_on_out_of_town_trips,Population_Est,Transient_Pop_Est,Seasonal_Pop_Est,Eth_White,Eth_Black,Eth_Asian,Eth_Hispanic,Eth_Other,Male_Pop,Females_Pop,Age_Average,Edu_High_school,Edu_Some_college,Edu_Clg_Assoc_deg,Edu_Clg_Bach_deg,Enroll_High_School,Enr_College_Graduate_Professional,Unemployment_Rate,Households_Est,Median_Household_Income,Average_Household_Income,Householder_under_25_yrs,Householder_25_to_44_yrs,Family_Inc_Median,Family_Inc_Agg_Avg,Family_Inc_Avg,Per_Capita_Income,Wealth_Median_Household,Wealth_Average_Household,Poverty_Pop,Male_14_to_35,Female_14_to_35,Total_Pop_14_to_35,Under_25_Low_Income,Under_25_Med_Income,Under_25_High_Income,25_to_44_Low_Income,25_to_44_Med_Income,25_to_44_High_Income
85,395,Urban,603942.83,Mall,Moderate,5932,5243,91,79,On Trend,On Trend,15min,24.51,22.26,2.25,91374,1230,547,81054,4684,903,2600,2133,44241,47132,40.0,21610,13928,6040,8074,4945,4831,4.9,37076,47558,64296,1597,11613,59031,1737910545,72030,26733,4111716,13371608,6059,12724,12289,25013,728,772,98,3129,5056,3428
86,400,Rural,1009590.01,Outlet,Warm,7000,6073,70,100,Fashion Forward,Fashion Forward,60min,26.08,23.65,2.43,509017,41426,136931,385270,80682,4574,27886,10604,245954,263064,43.3,117187,85856,35205,56322,23290,25976,4.7,213807,47809,63592,4994,51434,55778,9791499168,68037,26914,20462838,61730075,33755,63092,60086,123178,2788,1766,440,15619,21507,14308
87,401,Urban,1210964.44,Outlet,Hot,3396,2974,34,100,Fashion Forward,Fashion Forward,30min,26.68,23.92,2.76,2178694,157147,540,1013016,223859,203767,635169,102882,1088860,1089834,38.0,411008,362415,113273,225107,119875,131962,5.5,799409,56981,75377,27195,297770,64026,41493878902,77591,27782,79006487,264740485,104394,292052,280560,572612,11187,11779,4231,63863,125514,108392
88,402,Suburban,536932.8899999999,Outlet,Moderate,3600,3168,36,100,On Trend,On Trend,45min,27.54,25.06,2.48,815847,16081,5725,670973,55687,20182,51827,17179,399877,415970,41.2,196649,99821,46359,99922,42448,53415,3.5,319053,66118,82272,8737,96703,78783,19548125160,90167,32748,42326088,124751911,28365,110936,106244,217180,3572,3962,1202,14027,35177,47500
89,404,Urban,1019871.65,Mall,Moderate,3825,3248,40,106,Fashion Forward,Fashion Forward,15min,30.01,26.91,3.09,288432,6828,662,155660,75191,23436,22697,11449,143700,144733,37.8,46919,39178,14666,43305,15454,24432,3.8,105425,87805,104291,2773,42430,97176,7885028108,108150,38442,11965813,34586295,6940,40485,36352,76837,850,1383,540,3703,12699,26028
90,406,Urban,665044.8899999999,Strip,Cold,4768,4062,44,110,On Trend,On Trend,5mile,26.79,24.4,2.39,103548,994,309,76903,8948,1637,12192,3868,51640,51908,37.1,17552,16881,6034,14557,5187,9616,4.2,42178,48744,63912,3274,17186,59301,1602188911,68850,26482,5186215,17611081,7157,14870,14808,29678,1705,1190,381,4352,7702,5132
91,407,Urban,818556.2899999999,Outlet,Cold,3716,3272,37,100,Fashion Forward,Fashion Forward,30min,30.72,27.53,3.2,1259226,13774,3721,844349,74725,106602,209491,24059,620198,639028,38.6,151187,155010,61018,234771,80641,88845,3.2,440977,87874,114103,9567,149629,104717,37681080471,115928,40325,70717681,184891091,30136,184464,174914,359378,3224,3920,2424,15568,44164,89897
92,409,Suburban,1891395.01,Outlet,Moderate,6479,5604,66,100,On Trend,On Trend,45min,24.16,22.03,2.12,406644,23931,41443,344986,32451,3606,16385,9215,198265,208379,40.2,97306,59141,21525,36016,19397,35311,4.5,165837,41807,57130,10428,49166,52402,6671366315,63715,23677,14691091,49500743,32063,58985,56474,115459,6408,3357,664,15003,21582,12582
93,411,Urban,723142.57,Strip,Warm,3700,3100,37,100,On Trend,On Trend,5mile,24.66,22.76,1.91,95769,1039,368,48829,13504,2162,29495,1778,46088,49681,35.2,15181,12569,4577,8482,4803,15877,3.7,36027,43478,61683,4502,12941,52264,1478663426,66595,23626,3273383,12181898,8114,16112,17297,33409,3126,1147,230,4220,5247,3474
94,413,Urban,632617.5899999999,Mall,Moderate,4294,3622,49,92,On Trend,On Trend,15min,24.47,22.24,2.22,177177,2199,694,148359,16680,2723,4479,4936,85909,91268,39.5,38455,26894,10274,20032,8844,10747,3.4,73433,46510,65142,3200,25437,60754,3306582466,73360,27537,9356701,31089565,11781,24045,23917,47962,1752,1244,203,7131,10735,7573
