,Store ID,Pop class,Sales,Centre Type,Climate,Total_Store_sft,Sales_Floor_sft,Store_Frontage_ft,Store_Length_ft,Guys Segmentation,Girls Segmentation,MSA Type,Food_away_from_home,Meals_at_restaurants,Food_on_out_of_town_trips,Population_Est,Transient_Pop_Est,Seasonal_Pop_Est,Eth_White,Eth_Black,Eth_Asian,Eth_Hispanic,Eth_Other,Male_Pop,Females_Pop,Age_Average,Edu_High_school,Edu_Some_college,Edu_Clg_Assoc_deg,Edu_Clg_Bach_deg,Enroll_High_School,Enr_College_Graduate_Professional,Unemployment_Rate,Households_Est,Median_Household_Income,Average_Household_Income,Householder_under_25_yrs,Householder_25_to_44_yrs,Family_Inc_Median,Family_Inc_Agg_Avg,Family_Inc_Avg,Per_Capita_Income,Wealth_Median_Household,Wealth_Average_Household,Poverty_Pop,Male_14_to_35,Female_14_to_35,Total_Pop_14_to_35,Under_25_Low_Income,Under_25_Med_Income,Under_25_High_Income,25_to_44_Low_Income,25_to_44_Med_Income,25_to_44_High_Income
163,535,Urban,635519.9999999999,Strip,Moderate,5800,5034,58,60,On Trend,On Trend,5mile,25.29,23.13,2.17,24828,345,133,18187,2407,459,3126,649,12521,12307,41.0,4613,3652,2018,2308,1410,1042,6.0,9966,43539,55974,463,2288,54179,414080370,65394,23645,1113580,3702158,1807,3892,2982,6874,230,183,49,943,892,457
164,537,Urban,878120.9899999999,Mall,Cold,4605,3948,40,122,On Trend,On Trend,15min,27.09,24.46,2.62,88790,4654,2556,31438,659,1129,52898,2665,43222,45568,40.9,15115,11315,3524,11923,4515,5870,4.2,37401,55033,73388,951,11059,63628,1719399627,79511,31459,4408060,13466128,5200,11263,10305,21568,350,529,72,2899,4636,3523
165,538,Rural,1026075.48,Strip,Warm,7359,6500,69,108,Fashion Forward,Fashion Forward,5mile,25.25,22.95,2.31,13986,984,81,10283,3111,98,322,170,6773,7213,39.0,1988,2004,1030,1908,648,727,2.0,5597,50112,70645,431,1898,64708,288190030,78167,28432,690355,2252189,1029,1917,1855,3772,215,212,3,494,634,771
166,540,Urban,928765.9099999998,Mall,Moderate,4935,4248,60,82,On Trend,On Trend,15min,23.85,21.76,2.1,96576,1536,356,84716,2245,1159,3876,4579,47004,49573,38.8,21207,15600,4588,11214,4885,6987,3.5,38738,47823,63430,2501,13061,58468,1730544240,70527,25940,4678383,15681148,6103,13931,13975,27906,1081,1248,173,2902,5992,4168
167,544,Suburban,658429.2000000002,Strip,Warm,6000,5367,60,101,Fashion Forward,Fashion Forward,5mile,24.73,22.54,2.19,34590,230,46,21474,8289,323,3697,806,16817,17773,35.4,6287,4760,906,2964,2243,6124,5.2,12116,43914,63165,1255,4041,54848,549656063,70606,22976,953306,3715983,2612,6296,6576,12872,826,367,60,1143,1894,1003
168,545,Urban,644744.1999999998,Strip,Moderate,4951,4005,60,60,Fashion Forward,Fashion Forward,5mile,23.58,21.59,1.99,75385,1080,267,36085,25588,4284,7486,1942,35836,39549,38.5,14736,11295,4110,5712,4977,6613,7.9,28581,36218,51969,1098,9218,42708,1055739586,56283,20255,2788772,10763121,6255,11151,11626,22777,689,339,70,3797,3831,1590
169,546,Suburban,480905.8499999997,Strip,Warm,4002,3365,56,70,On Trend,On Trend,5mile,24.91,22.58,2.33,33515,734,348,19712,1433,536,10495,1338,16368,17147,40.2,6654,6325,2695,2579,1475,2341,5.8,14134,46496,57613,958,4260,57883,589509698,65615,24554,1933821,6367983,2392,4324,4281,8605,413,486,59,1053,1976,1232
170,549,Urban,1215977.27,Mall,Warm,6715,6036,113,65,On Trend,On Trend,15min,24.43,22.11,2.32,137497,1873,1376,50346,2491,1800,79657,3204,66959,70538,37.5,18543,20711,7271,16541,6802,20336,7.0,53355,43284,61394,5510,16400,55042,2347421525,68752,24067,5195606,18094189,12135,22132,21355,43487,3610,1718,183,5853,6670,3877
171,550,Urban,1020264.41,Mall,Frigid,7500,6743,70,124,On Trend,On Trend,15min,26.35,23.58,2.77,80903,1870,302,63917,2198,974,11344,2470,40359,40544,39.2,13305,14021,7009,10267,4086,5839,4.7,33688,62787,77615,1932,11786,75785,1797119252,83933,32698,4279214,12985864,3319,11354,10746,22100,771,779,380,1620,4623,5543
172,551,Rural,808442.8200000001,Strip,Moderate,6503,5862,64,100,On Trend,On Trend,5mile,24.99,22.54,2.45,38373,694,20,29263,259,380,7482,988,18546,19827,41.4,7682,7298,2512,3518,1705,2248,5.3,15062,44688,56263,599,3589,55903,667731264,63564,22158,991870,3116563,2314,5101,4888,9989,345,230,23,957,1485,1145
173,554,Rural,694077.45,Strip,Warm,6000,5049,60,100,Fashion Forward,Fashion Forward,5mile,26.43,24.23,2.2,28063,71,144,11418,7706,217,8092,631,13787,14276,38.0,4729,4115,1705,1932,1323,1562,6.0,10383,39037,51034,309,2980,46901,400418728,56684,19269,977981,3616858,2386,4146,3842,7988,133,174,3,1011,1438,530
174,555,Suburban,594515.98,Mall,Warm,4766,3951,51,93,On Trend,On Trend,15min,24.57,22.52,2.05,53619,193,304,39018,1700,373,2541,9987,25766,27853,38.5,11976,9077,2726,4352,2754,3773,5.1,20504,45627,59426,1175,6546,54811,943082806,66426,23375,2457322,8445955,3516,7960,8075,16035,601,527,46,1745,2945,1855
175,556,Urban,675107.88,Mall,Hot,5021,4206,72,85,On Trend,On Trend,15min,27.13,24.6,2.53,85456,736,754,47033,7393,1274,28169,1587,43279,42177,37.7,16540,14214,4657,7960,5061,4013,4.3,30640,66353,82821,1331,10612,74719,1948747698,88200,29865,4285491,13439702,4029,13310,11767,25077,550,619,163,1916,3692,5006
176,559,Urban,938356.5300000001,Strip,Hot,4999,4124,50,100,On Trend,On Trend,5mile,26.54,23.81,2.74,142421,1136,34,67365,11164,6476,52358,5057,70046,72375,36.4,20172,25941,8552,14611,9185,10793,4.1,47361,68083,83186,1935,18770,74038,3109530421,84511,27701,4146844,12911735,4884,21214,20279,41493,749,851,334,3120,7616,8033
177,561,Urban,829360.49,Strip,Warm,5783,4705,46,125,On Trend,On Trend,5mile,27.28,24.82,2.46,80710,552,104,55948,9162,1130,12566,1905,39352,41358,35.4,14960,13660,4577,7831,4808,5155,3.8,27605,70907,83641,1094,11741,75567,1861383331,85466,28720,2375641,7223916,2321,11796,11392,23188,339,560,196,1466,4524,5753
178,562,Urban,872182.4900000001,Mall,Warm,7355,5440,49,149,On Trend,On Trend,15min,24.39,22.26,2.13,82292,507,15,65617,12217,661,2191,1606,38875,43416,41.0,18027,13047,3782,8489,3622,7268,4.0,35024,44558,60190,2236,9866,59223,1545069826,69517,26007,4114988,14251189,6399,11683,11789,23472,1575,571,91,3303,3861,2699
179,563,Urban,923059.4299999998,Strip,Moderate,5452,4597,47,117,Fashion Forward,Fashion Forward,5mile,24.34,22.14,2.2,49457,1291,106,36588,7816,1733,1921,1399,23760,25697,36.0,7418,7411,2698,6130,1745,14096,3.8,18325,46558,57305,2047,6269,57071,705341234,64872,22167,1541170,5180534,3414,9767,10095,19862,1106,751,191,1501,3014,1753
180,564,Suburban,635725.73,Mall,Moderate,4706,3665,49,88,Fashion Forward,Fashion Forward,15min,24.52,22.35,2.17,64556,451,283,44488,16220,627,2140,1082,30928,33628,41.3,15821,9467,4792,4526,3815,3275,8.1,25999,40064,55278,839,7414,48783,1076238702,60288,22485,3344229,11446184,5184,8707,8319,17026,492,295,50,2731,3077,1606
181,566,Urban,952772.26,Strip,Hot,5702,4694,60,91,Fashion Forward,Fashion Forward,5mile,27.06,24.87,2.19,260044,9273,2196,114539,29527,12711,97652,5614,134210,125834,33.1,28688,24188,5877,42532,7141,47164,3.4,105466,61453,93536,10792,53184,71209,4324694083,92984,39032,9448991,33334550,23285,45422,42758,88180,5239,3331,2220,10703,18523,23957
182,567,Rural,1228798.49,Outlet,Warm,5052,4502,53,110,On Trend,On Trend,60min,23.81,21.54,2.27,1080794,9138,6552,174541,26867,10506,854827,14053,528182,552611,35.7,158618,149584,50077,99723,72351,104590,4.7,350858,43490,59860,18098,123641,48141,16566440622,62229,19776,37756023,131721945,78051,180700,169156,349856,10372,6663,1064,39195,52573,31872
183,569,Urban,744225.4399999998,Strip,Cold,4542,3952,50,100,On Trend,On Trend,5mile,25.73,23.05,2.68,264959,1229,706,138473,5285,7466,107093,6641,131428,133530,38.7,45211,36647,11123,35758,12288,15755,3.3,105742,56264,73676,4499,40076,65133,4858048938,79462,29667,13269567,43690780,15702,35621,34428,70049,1585,2119,795,8232,15945,15898
184,575,Suburban,812911.73,Strip,Moderate,3840,3298,48,80,On Trend,On Trend,5mile,24.97,22.67,2.3,27636,687,253,13915,369,243,12565,543,13574,14062,39.1,4635,4381,1626,2765,1681,1588,3.7,10655,41992,60477,438,3257,56433,495959262,68836,24101,1328743,4558019,2129,4296,3829,8125,214,151,73,974,1378,905
185,577,Urban,557983.6599999998,Strip,Warm,4560,3677,65,71,On Trend,On Trend,5mile,26.44,24.05,2.38,42381,304,103,26609,4979,237,9739,818,20705,21676,36.1,7440,7070,2084,4286,2363,3185,3.0,15015,64117,79529,863,5399,70298,918507720,82470,28659,1452837,4757886,1813,6325,6179,12504,381,398,85,850,2273,2276
186,584,Urban,841163.58,Strip,Warm,5000,4259,50,80,Fashion Forward,Fashion Forward,5mile,25.17,23.14,2.04,90495,802,140,53170,20522,1855,6463,8486,43655,46840,37.1,19211,16622,4707,7516,4019,5453,3.8,36468,46186,55677,2311,12925,52844,1436624500,62280,22708,5085143,17952656,5636,13401,12808,26209,1015,1105,189,3718,6165,3042
187,586,Urban,1108861.34,Strip,Warm,6700,5998,95,69,Fashion Forward,Fashion Forward,5mile,25.88,23.59,2.29,78989,45,290,43125,25564,1895,5939,2467,38101,40888,37.0,15341,13984,4778,6757,3970,6340,4.7,31102,48469,61564,1108,11818,55057,1419735853,67743,24313,2466155,8821494,5716,11321,11199,22520,415,573,121,3888,4843,3087
188,589,Urban,1379171.67,Strip,Cold,6500,5793,52,125,Fashion Forward,Fashion Forward,5mile,24.17,22.0,2.16,194236,4085,665,97149,56202,4466,31142,5278,96636,97600,37.4,42393,27980,8216,13982,11040,12968,10.7,80143,32023,46590,4524,30309,35185,2037147074,48401,20257,8840103,39003646,24237,28619,28386,57005,2889,1257,378,12752,11375,6180
189,591,Urban,919507.9799999999,Strip,Hot,6920,6192,71,100,Fashion Forward,Fashion Forward,5mile,25.37,23.37,2.0,193599,3367,582,35979,14874,3696,135022,4028,94961,98638,33.9,33327,29501,10959,14887,12230,15735,4.5,63204,52027,63963,2750,26945,56044,3055502909,66022,20986,4832527,17253328,9988,32073,29810,61883,1251,1262,237,6802,11798,8345
190,592,Urban,1006391.63,Outlet,Warm,4300,3679,47,92,On Trend,On Trend,30min,26.52,24.24,2.28,1032024,12675,2679,651484,123400,36000,138401,82739,506743,525281,37.4,172017,165244,50320,132224,55235,73489,3.3,406568,56518,75612,19444,156087,67048,21424042875,80760,30122,50639714,166389087,53551,146731,142456,289187,9156,8231,2058,33602,64901,57584
191,593,Urban,698504.9000000004,Strip,Hot,5001,4160,48,95,On Trend,On Trend,5mile,27.12,24.58,2.54,87203,256,235,26844,15008,5212,38794,1345,43198,44004,35.4,13902,11120,4699,9830,4805,5580,3.4,28593,68263,88207,1123,10854,74536,1941242463,88565,29489,1922875,6495954,3100,13189,12354,25543,494,537,91,1917,4152,4784
192,600,Suburban,625156.1999999997,Strip,Warm,5000,4273,40,125,On Trend,On Trend,5mile,26.33,23.95,2.38,32899,198,121,21457,6199,628,3510,1106,16280,16619,38.0,5996,5210,2545,3849,2243,1554,3.0,12960,54218,69089,554,5139,65504,698529618,76151,27351,1039004,3536953,1985,4717,4410,9127,313,177,64,1354,2137,1649
193,605,Rural,591237.4299999999,Strip,Frigid,4640,3872,45,100,On Trend,On Trend,5mile,25.13,22.64,2.49,19654,369,274,17816,701,127,611,400,9947,9707,41.2,5002,3345,1426,1447,1039,819,6.7,7525,46425,59047,356,1957,56605,331299899,66612,23155,898000,2856728,1188,3102,2499,5601,228,122,5,558,848,551
194,609,Urban,953043.6000000003,Strip,Cold,4650,4052,62,73,Fashion Forward,Fashion Forward,5mile,25.3,22.84,2.47,195067,3287,783,144772,23881,2576,17822,6015,95550,99517,39.1,42164,30892,10828,15739,11210,14238,6.0,75722,47441,60923,2204,24709,54992,3180929773,64941,23714,13611979,43558857,14623,27813,27317,55130,1094,843,266,7254,9647,7806
195,611,Urban,1088091.95,Strip,Warm,5000,4056,50,100,Fashion Forward,Fashion Forward,5mile,26.61,23.93,2.68,78188,460,198,32974,35398,3214,4290,2311,36759,41428,37.8,9756,11479,4832,13547,5092,6124,3.5,29684,69792,85351,821,11423,79396,1922999168,89284,32496,2019395,5808944,2745,10797,10853,21650,344,466,12,1791,5039,4591
196,612,Urban,1178192.05,Mall,Warm,7973,7259,87,99,Fashion Forward,Fashion Forward,15min,25.63,23.08,2.55,148662,2010,485,99206,34819,2617,7747,4272,70607,78055,38.2,24345,20928,9673,21420,8540,11291,4.0,57731,58270,78204,2588,21267,69893,3345042561,84996,30613,4281959,13524284,7572,20572,21976,42548,1624,771,194,4656,8026,8585
197,614,Urban,937184.3700000001,Strip,Hot,4700,4087,47,100,Fashion Forward,Fashion Forward,5mile,26.92,24.34,2.58,230263,779,332,80221,34849,23627,86618,4947,113176,117087,34.8,33035,31567,10179,32103,16820,15489,3.6,74301,71837,92160,2230,32404,77428,5426924706,92174,29762,4692055,13846333,6875,34225,33185,67410,994,842,397,4721,12820,14863
198,615,Urban,1080263.54,Strip,Hot,4995,4323,45,111,Fashion Forward,Fashion Forward,5mile,25.46,23.14,2.32,88568,895,262,32043,14565,1734,38709,1517,43381,45187,35.7,15292,14378,4928,5651,5728,5388,7.0,30342,57769,72583,1679,10915,64315,1682166894,76936,25021,3024336,10698829,5008,13414,13043,26457,525,794,358,2288,4109,4518
199,617,Rural,779860.0700000001,Strip,Warm,6500,5851,65,100,Fashion Forward,Fashion Forward,5mile,24.34,22.05,2.29,16542,376,33,11235,3622,375,824,487,8157,8384,39.8,4145,2965,951,989,921,975,3.9,6105,52487,64101,329,1603,61241,297592618,70434,24598,660687,2247647,1010,2531,2257,4788,92,190,47,430,708,466
200,618,Urban,620327.86,Strip,Warm,4500,3803,45,100,On Trend,On Trend,5mile,29.09,26.32,2.77,31896,183,129,24242,4231,240,2467,716,15727,16169,37.6,5361,4810,3250,4031,1956,1952,5.2,11226,78606,91932,42,4293,85101,836443398,92678,32370,680764,1898476,896,4539,4231,8770,1,9,31,546,1198,2546
201,623,Urban,898672.3000000003,Strip,Moderate,4799,4104,60,60,On Trend,On Trend,5mile,27.89,24.92,2.96,257952,438,481,186702,2650,7509,49933,11157,129262,128690,33.1,40237,41269,15858,25676,19006,15838,3.4,75363,72475,85487,2729,32478,77564,5435661301,87850,25027,8995205,26571348,5282,40381,39036,79417,628,1460,641,3588,12969,15922
202,624,Rural,554565.0699999998,Strip,Warm,5000,4269,50,100,On Trend,On Trend,5mile,24.16,22.3,1.86,19314,248,191,14992,440,182,3418,283,9396,9918,33.4,2695,3030,795,2204,907,5335,3.5,7576,43418,57324,1526,2853,62138,285656472,73783,24360,684296,2701889,2258,3853,4143,7996,975,446,104,623,1185,1047
203,625,Suburban,588053.14,Strip,Warm,4720,4005,60,80,Fashion Forward,Fashion Forward,5mile,25.01,23.06,1.95,26682,427,40,14033,10846,689,672,441,13372,13311,33.5,3763,2794,932,3296,1369,7579,6.9,10336,35417,56099,2209,3375,52729,369189608,69744,22476,857890,3529807,3907,6145,5372,11517,1577,588,44,1405,1017,952
204,627,Rural,841769.2099999998,Strip,Warm,4715,3917,58,109,On Trend,On Trend,5mile,28.73,26.0,2.73,154437,312,195,96784,12541,10589,28772,5752,76262,78176,33.2,16628,23064,8613,27400,10197,12527,2.8,51804,87806,102462,1631,25427,94023,4154671753,102830,34376,4998169,14048343,2298,22063,21396,43459,684,489,458,1496,7818,16111
205,629,Urban,1087422.89,Strip,Moderate,6564,5919,81,81,Fashion Forward,Fashion Forward,5mile,25.64,23.11,2.53,50601,957,149,35409,7758,1811,4331,1293,24679,25922,36.6,9949,8047,2986,5658,3253,3046,3.7,18632,60024,70878,740,7399,66908,1009911728,74767,26144,1228450,3890660,1863,7136,6832,13968,196,487,56,1085,3345,2970
206,630,Urban,809210.7499999999,Strip,Hot,4200,3590,60,70,On Trend,On Trend,5mile,25.31,22.99,2.32,50410,185,346,39581,2280,771,6763,1015,23824,26586,45.7,13197,9245,4289,3592,2808,2747,5.6,20577,44753,55605,304,4610,52584,867009350,61099,22771,1814460,5421723,3040,6091,5914,12005,45,183,75,1277,2020,1314
207,636,Urban,840553.19,Mall,Moderate,5887,5215,60,103,On Trend,On Trend,15min,27.45,24.96,2.49,274013,2580,861,189597,3138,6445,61152,13681,135899,138114,38.6,47733,48842,15338,28303,15783,18660,4.6,101260,55650,69760,4624,34392,63682,5072385378,75267,26247,9285113,30858048,13605,41760,39131,80891,2301,1931,391,7732,14937,11722
208,637,Urban,706435.73,Outlet,Warm,5000,3978,50,100,On Trend,On Trend,30min,26.72,24.0,2.72,197660,5237,2173,159784,1716,4920,19981,11259,96959,100700,41.6,36514,44079,15276,18858,10183,13682,4.5,77453,48183,66129,3046,21353,60190,3863445485,74657,26210,9619036,30576246,12878,27219,25684,52903,1621,1060,366,6227,8511,6614
209,640,Urban,1262533.32,Strip,Hot,6500,5916,65,100,Fashion Forward,Fashion Forward,5mile,22.55,20.73,1.83,80106,1351,696,43832,9546,4155,20946,1628,39948,40158,32.8,9618,10009,2793,8963,3094,19009,3.2,32829,42234,61000,6670,13020,54733,1189877228,70128,25661,2504269,10257001,8850,16876,15639,32515,4428,1740,501,3783,5916,3322
210,643,Urban,738627.4400000001,Strip,Cold,5000,4770,48,132,On Trend,On Trend,5mile,23.92,21.79,2.13,28172,932,350,22103,4290,542,453,783,13397,14774,42.1,7145,4294,1645,2806,917,1284,5.4,12317,41179,57397,372,3718,54168,485855554,64546,25813,1388461,4654280,2359,3409,3530,6939,256,60,54,1329,1334,1054
211,644,Urban,702906.6799999999,Mall,Cold,4505,3913,42,123,On Trend,On Trend,15min,25.3,23.23,2.08,99279,1315,337,79701,10828,1472,4495,2783,48505,50774,39.4,21915,13784,7817,11494,4855,7510,3.5,41579,49869,64393,3122,13460,61895,1874691641,72458,27470,5201576,16558644,6043,13814,13980,27794,1568,1264,290,3138,5429,4892
212,646,Suburban,654951.68,Mall,Warm,6062,5074,60,108,Fashion Forward,Fashion Forward,15min,24.12,21.87,2.25,52916,785,122,29521,19297,1012,2067,1019,25610,27306,37.7,12164,7626,2206,3858,3172,2498,5.1,19655,42738,58623,1040,6288,51135,876523077,63505,22525,1718229,6343446,4388,8066,7727,15793,591,385,65,2265,2776,1248
213,650,Suburban,675600.4599999998,Mall,Hot,5158,4405,50,103,On Trend,Fashion Forward,15min,25.14,22.86,2.27,52917,1152,215,38416,10130,563,2642,1165,27135,25781,40.9,12861,8747,3507,4280,2472,1826,6.0,19575,46258,63550,536,6166,56765,919024100,68574,24182,2040140,6803092,3006,8391,6605,14996,290,216,30,1645,2866,1656
214,652,Rural,1222341.01,Mall,Moderate,4365,3597,44,117,On Trend,On Trend,30min,24.53,22.27,2.26,260731,4355,1031,165611,15003,7222,67393,5503,130384,130347,37.2,43124,44546,14023,26965,14631,18639,2.8,97970,56074,75902,5399,35707,67003,5440454848,81009,28845,13020908,42015088,13364,39052,36716,75768,2693,2210,498,7731,14521,13455
215,653,Urban,913290.2999999999,Mall,Moderate,7012,6176,50,137,Fashion Forward,Fashion Forward,15min,25.22,22.82,2.39,218881,9071,761,129008,66723,2811,15281,5058,105149,113732,38.8,42068,34034,9974,27069,12227,12826,4.5,88998,52587,69831,2872,33660,61174,4058567454,73505,28625,9398241,31512320,14017,29641,28588,58229,1252,1265,356,7638,13764,12258
216,654,Urban,1182989.28,Mall,Moderate,6500,6008,70,93,On Trend,On Trend,15min,25.49,23.21,2.28,118291,1537,590,88781,10526,4775,11713,2496,57690,60601,40.3,22914,17297,8952,12443,6702,6694,5.8,47320,47290,64519,1686,14305,58223,2210515337,70829,26194,4797517,15327895,7385,15932,15502,31434,935,646,105,3686,6583,4036
217,655,Urban,749207.5300000003,Strip,Warm,4506,3755,55,81,Fashion Forward,Fashion Forward,5mile,26.03,23.51,2.52,53742,336,67,30549,15042,1533,5301,1317,25887,27856,36.3,9986,8401,2105,6439,2952,3092,3.4,20373,57449,76317,1143,7426,67609,1104390096,79439,29113,1433699,4643341,2998,7366,7345,14711,655,461,27,1639,2771,3017
218,662,Urban,710858.5800000001,Mall,Warm,5202,4515,50,113,Fashion Forward,Fashion Forward,15min,25.06,22.89,2.17,137849,517,613,56490,72968,2191,4013,2186,65647,72201,37.9,29085,18691,5634,12556,7332,10451,6.4,53494,38729,58326,2410,17312,47847,2197460442,64044,23128,5981334,22559549,14010,20227,20511,40738,1783,503,125,7093,6437,3783
219,663,Urban,906008.72,Mall,Warm,6826,6210,74,106,On Trend,On Trend,15min,25.35,23.19,2.16,67310,483,99,44372,12251,1096,8236,1355,32486,34824,38.4,12932,9262,2922,5524,3797,4852,4.3,25114,44363,62429,1189,8037,55558,1163927715,68732,23988,2175620,7966058,4871,9796,10017,19813,837,275,77,2286,3491,2260
220,666,Urban,1056017.24,Mall,Warm,6018,5238,60,106,Fashion Forward,Fashion Forward,15min,25.87,23.61,2.26,87737,1523,249,56410,25746,848,2841,1893,41769,45968,39.3,17816,14199,5442,8362,4992,4771,4.4,35704,43928,63155,1237,11979,54092,1673355124,69149,25980,3371439,11691137,6639,12014,11900,23914,824,346,66,4002,4926,3052
221,668,Urban,700009.99,Mall,Warm,4564,3762,60,85,Fashion Forward,Fashion Forward,15min,26.45,24.23,2.23,156795,2055,561,90636,56200,2548,5376,2035,75955,80840,35.9,26865,20323,6348,18834,6967,28522,3.9,62784,50339,67970,7348,21890,60261,2726922700,73744,27805,5199688,18608872,12645,29879,29327,59206,3802,2071,1475,5893,8817,7180
222,669,Suburban,852794.0499999999,Mall,Warm,5173,4305,74,74,Fashion Forward,Fashion Forward,15min,26.0,23.9,2.11,43577,598,164,20426,21605,380,635,531,20508,23068,38.6,8948,6030,2670,4009,2078,3457,9.6,17412,41137,56883,609,5610,52036,728707738,63536,23041,1996586,7025929,3748,6289,6591,12880,381,131,98,2273,1998,1342
223,670,Urban,932671.5900000002,Strip,Moderate,4902,4152,42,114,On Trend,On Trend,5mile,26.57,23.66,2.9,259604,1842,386,144119,3866,10525,94676,6416,129446,130157,36.8,45784,38666,15304,27672,15472,14213,3.3,94843,65089,78985,3847,38749,71717,5391503342,82740,28907,10534810,32727840,9633,36853,35688,72541,1454,1816,577,5922,15286,17544
224,673,Urban,833025.8499999999,Strip,Warm,6482,6192,56,115,On Trend,On Trend,5mile,24.59,22.43,2.16,58430,662,149,21388,6503,1382,28197,960,29299,29132,34.3,9789,5579,1794,3918,3793,3348,2.3,18500,44074,61166,1006,6981,49235,793500298,62609,19860,1389747,5327367,4241,9577,9300,18877,435,494,77,2626,3137,1219
225,675,Urban,615416.85,Strip,Hot,5000,3805,42,168,Fashion Forward,Fashion Forward,5mile,28.36,25.61,2.75,24836,0,10,12703,11011,183,429,510,11850,12986,37.4,4654,4174,927,3114,1927,1322,3.2,8583,65914,80821,308,3103,74998,565748466,85790,28159,932124,2876681,1027,3730,3664,7394,124,101,83,457,1101,1544
226,677,Rural,833380.9699999999,Strip,Hot,4950,4277,45,110,Fashion Forward,Fashion Forward,5mile,23.84,21.88,1.96,57634,1443,246,22449,31940,523,1673,1049,28142,29491,37.2,11969,8015,1372,5342,2676,5660,6.0,21976,35153,53395,1418,6761,43537,776870166,59875,21434,2024296,7757789,6184,9778,9366,19144,973,328,117,2593,2544,1625
227,678,Rural,1518339.32,Outlet,Warm,6700,6119,67,100,Fashion Forward,Fashion Forward,60min,25.01,22.67,2.33,990737,12486,9839,694327,216163,12972,44947,22329,482881,507857,39.1,203863,157764,48357,112985,51908,73234,4.2,394360,50120,68748,18252,131773,61629,19892386269,75469,27779,43701562,142942964,60480,140318,135589,275907,9476,7109,1668,34946,54641,42187
228,679,Suburban,862171.5899999999,Mall,Moderate,5008,4127,45,124,Fashion Forward,Fashion Forward,15min,24.29,22.22,2.07,69088,1824,422,58027,7409,519,1552,1580,33097,35991,41.7,14953,10741,5465,6846,3682,3399,4.2,29842,43408,67576,1085,8460,60522,1365684648,73311,29629,3780886,12442149,5700,8790,8623,17413,613,450,21,2349,3323,2787
229,687,Rural,627959.0299999999,Strip,Moderate,4400,3692,53,91,Fashion Forward,Fashion Forward,5mile,25.14,23.0,2.14,7708,44,55,3428,3578,34,575,92,3846,3862,40.8,1511,1180,486,628,413,845,10.7,2799,34320,52963,116,750,46523,105127772,56498,20962,238377,883482,700,1387,1050,2437,85,10,20,435,192,122
230,689,Urban,778427.0299999998,Strip,Hot,4400,3696,55,80,On Trend,On Trend,5mile,27.44,25.11,2.33,126526,993,390,41085,9057,3453,69254,3677,61637,64889,33.8,16152,19800,8510,17205,7994,10717,4.1,42506,74214,87910,1154,20749,78536,2975257619,89236,29561,2843358,8557934,2808,18013,17749,35762,360,589,205,2384,7969,10396
231,692,Urban,766316.8200000001,Strip,Warm,4781,4069,43,113,On Trend,On Trend,5mile,26.63,24.04,2.59,80168,226,151,58537,3735,2872,6303,8721,39141,41028,37.2,13046,13745,5401,11417,5030,5161,3.4,29539,66549,80124,1071,11387,74429,1881487135,85049,29632,2986041,8936199,2269,11083,10745,21828,334,630,107,1321,4843,5220
232,693,Urban,895604.0099999998,Mall,Cold,7463,6692,55,137,Fashion Forward,Fashion Forward,15min,25.91,23.56,2.35,80454,1419,396,73618,2530,947,1647,1713,39450,41004,40.7,17410,10973,4972,11142,3989,7250,2.4,31954,57643,74644,1780,9996,73002,1708778298,83792,30692,4961163,15056799,3985,11965,11485,23450,960,705,116,1976,3788,4233
233,694,Urban,1155677.25,Mall,Moderate,7957,7367,66,150,On Trend,On Trend,15min,26.0,23.22,2.79,55893,1141,481,30298,459,313,13266,11556,27499,28394,37.5,10294,10354,3781,3709,3392,4549,5.2,20191,55221,72625,924,7158,63950,1064348507,74740,26797,2880834,9287772,3186,8139,7886,16025,458,346,121,1771,2632,2754
234,695,Suburban,649909.7999999999,Mall,Warm,4934,4373,50,101,Fashion Forward,Fashion Forward,15min,23.75,21.61,2.14,43375,518,151,10388,30736,580,1090,581,20179,23197,38.5,7385,5634,3801,4189,2273,5430,6.0,16462,35847,49528,770,4578,46589,625949174,58781,19373,2279048,7508692,4043,6896,7332,14228,440,321,10,2287,1589,703
235,696,Suburban,786636.2699999998,Mall,Moderate,7258,6429,93,88,Fashion Forward,Fashion Forward,15min,23.48,21.45,2.03,56347,956,486,30837,22308,458,1758,986,26447,29900,42.2,11583,9765,3808,4534,2758,3978,6.3,24218,38450,52752,969,6359,47999,907123689,60457,23143,2829986,10130126,4987,7408,7175,14583,596,333,40,2171,2598,1593
236,697,Suburban,591152.0399999999,Mall,Warm,4279,3644,66,82,Fashion Forward,Fashion Forward,15min,24.21,22.15,2.05,31705,739,302,14061,16454,149,680,363,14802,16903,40.6,7524,4579,1712,2409,1567,1626,8.0,13079,32808,49335,481,3160,39519,465581083,54014,20716,1969084,6830338,3855,4329,4361,8690,356,124,2,1635,1160,365
237,712,Urban,751821.5700000001,Mall,Frigid,6832,6260,65,115,On Trend,On Trend,15min,24.82,22.46,2.36,106623,865,1165,89860,684,2480,10859,2740,53265,53359,31.2,10853,15340,4355,14322,6839,20458,2.7,33339,53381,69548,5574,13386,62276,1765052957,73549,22137,4158837,13461919,5652,20520,20827,41347,2613,2481,481,3182,6146,4058
